timestamp,city,temperature,description
2025-12-15T01:10:46.148Z,Manchester,10.9,light rain
2025-12-15T01:10:46.151Z,Manchester,10.91,light rain
2025-12-15T03:25:15.020Z,Manchester,10.44,moderate rain
2025-12-15T03:25:15.021Z,Manchester,10.44,moderate rain
2025-12-15T04:34:37.361Z,Manchester,10.4,moderate rain
2025-12-15T04:34:37.363Z,Manchester,10.4,moderate rain
2025-12-15T06:26:06.495Z,Manchester,10.3,moderate rain
2025-12-15T06:26:06.497Z,Manchester,10.3,moderate rain
2025-12-15T08:23:19.467Z,Manchester,10.29,moderate rain
2025-12-15T08:23:19.469Z,Manchester,10.29,moderate rain
2025-12-15T10:18:54.200Z,Manchester,10.25,moderate rain
2025-12-15T10:18:54.202Z,Manchester,10.25,moderate rain
2025-12-15T12:32:41.639Z,Manchester,10.25,heavy intensity rain
2025-12-15T12:32:41.646Z,Manchester,10.25,heavy intensity rain
2025-12-15T14:19:34.000Z,Manchester,9.79,light rain
2025-12-15T14:19:34.002Z,Manchester,9.79,light rain
2025-12-15T16:21:24.954Z,Manchester,9.12,moderate rain
2025-12-15T16:21:24.957Z,Manchester,9.12,light rain
2025-12-15T18:22:36.936Z,Manchester,8.6,broken clouds
2025-12-15T18:22:36.938Z,Manchester,8.6,broken clouds
2025-12-15T20:17:04.788Z,Manchester,8.53,light rain
2025-12-15T20:17:04.789Z,Manchester,8.53,light rain
2025-12-15T22:14:37.825Z,Manchester,7.48,broken clouds
2025-12-15T22:14:37.837Z,Manchester,7.48,broken clouds
2025-12-16T01:09:37.262Z,Manchester,6.41,light rain
2025-12-16T01:09:37.263Z,Manchester,6.41,light rain
2025-12-16T03:19:19.301Z,Manchester,6.39,light rain
2025-12-16T03:19:19.303Z,Manchester,6.39,light rain
2025-12-16T04:30:54.114Z,Manchester,6.39,overcast clouds
2025-12-16T04:30:54.116Z,Manchester,6.39,overcast clouds
2025-12-16T06:23:43.232Z,Manchester,5.85,light rain
2025-12-16T06:23:43.234Z,Manchester,5.85,light rain
2025-12-16T08:21:38.245Z,Manchester,5.4,fog
2025-12-16T08:21:38.252Z,Manchester,5.4,fog
2025-12-16T10:17:35.907Z,Manchester,5.31,fog
2025-12-16T10:17:35.910Z,Manchester,5.31,fog
2025-12-16T12:31:26.163Z,Manchester,6.98,overcast clouds
2025-12-16T12:31:26.165Z,Manchester,6.98,overcast clouds
2025-12-16T14:18:28.450Z,Manchester,8.05,overcast clouds
2025-12-16T14:18:28.452Z,Manchester,8.05,overcast clouds
2025-12-16T16:20:42.487Z,Manchester,5.15,overcast clouds
2025-12-16T16:20:42.489Z,Manchester,5.15,overcast clouds
2025-12-16T18:22:26.964Z,Manchester,3.66,haze
2025-12-16T18:22:26.965Z,Manchester,3.66,haze
2025-12-16T20:17:26.960Z,Manchester,3.21,scattered clouds
2025-12-16T20:17:26.962Z,Manchester,3.21,scattered clouds
2025-12-16T22:15:07.124Z,Manchester,2.59,clear sky
2025-12-16T22:15:07.126Z,Manchester,2.59,clear sky
2025-12-17T01:04:31.613Z,Manchester,2.36,few clouds
2025-12-17T01:04:31.615Z,Manchester,2.36,few clouds
2025-12-17T03:15:31.686Z,Manchester,2.34,scattered clouds
2025-12-17T03:15:31.688Z,Manchester,2.34,scattered clouds
2025-12-17T04:28:10.850Z,Manchester,3.45,scattered clouds
2025-12-17T04:28:10.852Z,Manchester,3.45,scattered clouds
2025-12-17T06:23:14.010Z,Manchester,4.7,broken clouds
2025-12-17T06:23:14.012Z,Manchester,4.7,broken clouds
2025-12-17T08:21:28.267Z,Manchester,5.82,moderate rain
2025-12-17T08:21:28.313Z,Manchester,5.82,moderate rain
2025-12-17T10:17:21.970Z,Manchester,6.4,moderate rain
2025-12-17T10:17:21.972Z,Manchester,6.4,moderate rain
2025-12-17T12:30:27.216Z,Manchester,6.88,scattered clouds
2025-12-17T12:30:27.218Z,Manchester,6.88,scattered clouds
2025-12-17T14:16:04.470Z,Manchester,8.45,broken clouds
2025-12-17T14:16:04.473Z,Manchester,8.45,broken clouds
2025-12-17T16:19:53.640Z,Manchester,9.66,broken clouds
2025-12-17T16:19:53.643Z,Manchester,9.66,broken clouds
2025-12-17T18:23:12.032Z,Manchester,9.94,scattered clouds
2025-12-17T18:23:12.036Z,Manchester,9.94,scattered clouds
2025-12-17T20:17:05.262Z,Manchester,10.25,moderate rain
2025-12-17T20:17:05.264Z,Manchester,10.25,moderate rain
2025-12-17T22:14:31.514Z,Manchester,10.85,light rain
2025-12-17T22:14:31.516Z,Manchester,10.85,light rain
2025-12-18T01:05:36.514Z,Manchester,10.92,broken clouds
2025-12-18T01:05:36.516Z,Manchester,10.92,broken clouds
2025-12-18T03:16:08.071Z,Manchester,9.39,broken clouds
2025-12-18T03:16:08.082Z,Manchester,9.39,broken clouds
2025-12-18T04:28:55.545Z,Manchester,9.64,scattered clouds
2025-12-18T04:28:55.547Z,Manchester,9.64,scattered clouds
2025-12-18T06:23:03.778Z,Manchester,9.19,few clouds
2025-12-18T06:23:03.780Z,Manchester,9.19,few clouds
2025-12-18T08:20:59.883Z,Manchester,8.68,overcast clouds
2025-12-18T08:20:59.885Z,Manchester,8.68,overcast clouds
2025-12-18T10:16:24.802Z,Manchester,8.96,overcast clouds
2025-12-18T10:16:24.804Z,Manchester,8.96,overcast clouds
2025-12-18T12:30:06.714Z,Manchester,9.91,few clouds
2025-12-18T12:30:06.716Z,Manchester,9.91,few clouds
2025-12-18T14:17:18.362Z,Manchester,9.12,moderate rain
2025-12-18T14:17:18.364Z,Manchester,9.12,moderate rain
2025-12-18T16:20:33.575Z,Manchester,8.66,light rain
2025-12-18T16:20:33.577Z,Manchester,8.66,light rain
2025-12-18T18:22:11.390Z,Manchester,8.68,light rain
2025-12-18T18:22:11.392Z,Manchester,8.68,light rain
2025-12-18T20:15:04.693Z,Manchester,9.16,moderate rain
2025-12-18T20:15:04.695Z,Manchester,9.16,moderate rain
2025-12-18T22:14:17.186Z,Manchester,7.45,broken clouds
2025-12-18T22:14:17.188Z,Manchester,7.45,broken clouds
2025-12-19T01:09:09.644Z,Manchester,5.49,clear sky
2025-12-19T01:09:09.645Z,Manchester,5.49,clear sky
2025-12-19T03:19:20.495Z,Manchester,5.74,clear sky
2025-12-19T03:19:20.497Z,Manchester,5.74,clear sky
2025-12-19T04:29:36.501Z,Manchester,5.82,scattered clouds
2025-12-19T04:29:36.503Z,Manchester,5.82,scattered clouds
2025-12-19T06:22:39.867Z,Manchester,7.43,overcast clouds
2025-12-19T06:22:39.869Z,Manchester,7.43,overcast clouds
